Deficiente;;1;2;3;4;27;28;29;30;31;32;33;34;35;17;36;37;38;39;40;41;42;52;53;51;54;55;12;43;44;45;46;47;48;25;26
;VIA;P.I.;CRECHE;CAISM;PORT. F1 (HC);REITORIA;CENTRAL INFORM.;ZOOL.;SIARQ;RU;GINÁSIO;IEL;CEL;COMVEST FUNCAMP;ADUNICAMP;PAV. IC PAV. IA;IE IMECC;IFGW FE;IQ FEA;CRECHE FEA;FEA PÇA. PAZ;FEQ FEM;VIGILÂNCIA;IC / NEPO;MUSEU DE CIÊNCIAS;NEPO / NEPP;FEC;CCUEC;CCUEC;EMBRAPA FEAGRI;FEAGRI CEBMEG;FEAGRI GENÉTICA;CEMEQ;DGA;CAISM;FCM
;;12:10;12:10;12:12;12:13;12:16;12:17;12:18;12:19;12:20;12:21;12:22;12:23;12:23;12:24;12:24;12:25;12:25;12:27;12:28;12:29;12:30;-;-;-;-;-;-;12:31;12:32;12:32;12:32;12:33;12:35;12:36;12:37
;FEC;12:25;12:26;12:27;12:29;12:30;12:31;12:32;12:32;12:33;12:34;12:35;12:35;12:36;12:37;12:39;12:39;12:41;12:41;12:43;12:43;12:44;12:44;12:45;-;12:46;12:47;12:48;12:48;12:49;12:50;12:51;12:52;12:53;12:54;12:55
;Museu;12:40;12:41;12:42;12:45;12:46;12:46;12:47;12:47;12:48;12:49;12:49;12:50;12:50;12:51;12:52;12:52;12:53;12:54;12:55;12:56;12:57;12:57;12:58;13:02;13:05;13:05;13:06;13:06;13:07;13:08;13:08;13:09;13:10;13:12;13:13
;;12:45;12:46;12:48;12:50;12:51;12:51;12:52;12:52;12:53;12:54;12:54;12:55;12:56;12:56;12:57;12:57;12:59;13:00;13:01;13:01;13:02;-;-;-;-;-;-;13:03;13:03;13:04;13:04;13:05;13:06;13:07;13:08
;FEC;12:55;12:56;12:58;12:59;13:00;13:01;13:02;13:03;13:04;13:05;13:06;13:06;13:07;13:08;13:09;13:09;13:10;13:11;13:12;13:13;13:14;13:14;13:15;-;13:16;13:16;13:17;13:17;13:18;13:19;13:19;13:20;13:21;13:22;13:23
;;13:10;13:11;13:13;13:14;13:15;13:16;13:16;13:17;13:18;13:19;13:19;13:20;13:21;13:22;13:23;13:23;13:24;13:25;13:25;13:25;13:26;-;-;-;-;-;-;13:27;13:28;13:28;13:29;13:30;13:31;13:32;13:33
;Museu;13:20;13:21;13:23;13:24;13:27;13:27;13:28;13:29;13:29;13:31;13:31;13:32;13:33;13:34;13:34;13:34;13:35;13:35;13:36;13:37;13:38;13:39;13:39;13:43;13:45;13:46;13:46;13:47;13:47;13:48;13:48;13:49;13:50;13:51;13:52
;;13:40;13:41;13:42;13:43;13:44;13:45;13:46;13:47;13:48;13:48;13:49;13:50;13:50;13:51;13:52;13:53;13:54;13:54;13:55;13:56;13:57;-;-;-;-;-;-;13:58;13:59;14:00;14:00;14:01;14:02;14:03;14:04
;FEC;13:45;13:48;13:49;13:50;13:51;13:52;13:53;13:54;13:55;13:56;13:57;13:58;13:58;13:59;14:00;14:00;14:01;14:02;14:03;14:03;14:04;14:05;14:05;-;14:06;14:07;14:11;14:11;14:12;14:13;14:15;14:15;14:16;14:17;14:18
;Museu;14:00;14:01;14:02;14:03;14:04;14:05;14:06;14:07;14:07;14:08;14:08;14:09;14:09;14:10;14:10;14:11;14:12;14:13;14:14;14:15;14:15;14:16;14:16;14:19;14:22;14:23;14:23;14:24;14:24;14:25;14:25;14:26;14:27;14:28;14:30
;;14:10;14:10;14:12;14:13;14:15;14:15;14:16;14:16;14:17;14:17;14:18;14:19;14:19;14:20;14:21;14:22;14:23;14:24;14:25;14:25;14:26;-;-;-;-;-;-;14:27;14:28;14:29;14:29;14:30;14:31;14:32;14:34
;FEC;14:20;14:23;14:25;14:26;14:28;14:28;14:29;14:29;14:30;14:31;14:32;14:32;14:34;14:34;14:35;14:35;14:36;14:37;14:38;14:39;14:39;14:41;14:41;-;14:41;14:42;14:43;14:44;14:45;14:45;14:46;14:47;14:48;14:49;14:50
;Museu;14:40;14:41;14:42;14:43;14:44;14:45;14:46;14:46;14:47;14:48;14:48;14:49;14:49;14:50;14:51;14:51;14:52;14:53;14:54;14:55;14:56;14:56;14:57;15:01;14:03;15:04;15:04;15:05;15:05;15:06;15:06;15:07;15:08;15:09;15:10
;FEC;14:55;14:56;14:57;14:58;14:59;15:00;15:01;15:03;15:04;15:04;15:05;15:06;15:06;15:07;15:08;15:09;15:10;15:11;15:12;15:12;15:13;15:14;14:14;-;15:15;15:15;15:17;15:17;15:18;15:19;15:19;15:20;15:21;15:23;15:24
;Museu;15:20;15:21;15:22;15:23;15:24;15:25;15:26;15:27;15:28;15:29;15:29;15:30;15:31;15:31;15:32;15:32;15:33;15:34;15:35;15:36;15:36;15:37;15:37;15:40;15:42;15:43;15:43;15:44;15:44;15:45;15:46;15:47;15:48;15:49;15:50
;FEC;15:30;15:31;15:33;15:34;15:36;15:36;15:38;15:38;15:39;15:39;15:40;15:41;15:42;15:42;15:43;15:44;15:45;15:41;15:42;15:42;15:43;15:44;15:44;-;15:45;15:45;15:46;15:46;15:47;15:47;15:48;15:49;15:50;15:52;15:53
;Museu;16:00;16:01;16:02;16:03;15:04;16:04;16:05;16:05;16:06;15:06;16:07;16:07;16:08;16:09;16:10;16:11;16:11;16:12;16:13;16:14;16:14;15:15;16:16;16:20;16:24;16:25;16:25;16:26;16:26;16:27;16:27;16:28;16:28;16:30;16:31
;FEC;16:05;16:06;16:07;16:09;16:11;16:12;16:12;16:13;16:14;16:15;16:15;16:16;16:16;16:17;16:18;16:19;16:20;16:21;16:22;16:23;16:23;16:24;16:24;-;16:25;16:25;16:26;16:27;16:28;16:29;16:29;16:30;16:31;16:32;16:33
;Museu;16:40;16:41;16:42;16:43;16:45;16:45;16:46;16:47;16:48;16:48;16:49;16:49;16:50;16:51;16:51;16:52;16:52;16:53;16:54;16:54;16:55;16:56;16:57;17:01;17:04;17:05;17:05;17:06;17:06;17:07;17:07;17:08;17:09;17:10;17:11
;FEC;16:40;16:42;16:44;16:45;16:46;16:46;16:48;16:48;16:49;16:50;16:50;16:51;16:51;16:52;16:53;16:54;16:55;16:55;16:54;16:55;15:56;16:57;16:57;-;16:58;16:59;17:00;17:00;17:01;17:02;17:02;17:03;17:04;17:05;17:06
;;17:00;17:01;17:02;17:03;17:04;17:04;17:05;17:05;17:06;17:06;17:07;17:07;17:08;17:08;17:09;17:09;17:09;17:10;17:11;17:11;17:12;-;-;-;-;-;-;17:13;17:13;17:14;17:14;17:15;17:16;17:17;17:17
;FEC;17:15;17:16;17:18;17:19;17:20;17:21;17:22;17:23;17:24;17:25;17:25;17:26;17:26;17:27;17:28;17:29;17:30;17:31;17:32;17:33;17:34;17:35;17:35;-;17:36;17:37;17:38;17:39;17:40;17:41;17:42;17:43;17:44;17:45;17:46
;Museu;17:20;17:21;17:22;17:23;17:24;17:24;17:25;17:26;17:27;17:27;17:28;17:28;17:29;17:29;17:30;17:31;17:32;17:33;17:34;17:35;17:36;17:37;17:38;17:42;17:44;17:45;17:46;17:47;17:48;17:48;17:49;17:50;17:51;17:52;17:53
;;17:35;17:36;17:38;17:39;17:40;17:40;17:41;17:42;17:43;17:43;17:44;17:45;17:45;17:46;17:46;17:47;17:48;17:48;17:49;17:50;17:50;-;-;-;-;-;17:51;17:51;17:52;17:52;17:52;17:53;17:54;17:55;17:56
;Museu;17:50;17:50;17:52;17:53;17:54;17:54;17:55;17:55;17:56;17:56;17:57;17:57;17:58;17:58;17:59;17:59;18:00;18:01;18:01;18:02;18:03;18:03;18:04;18:07;18:09;18:10;18:10;18:11;18:11;18:12;18:12;18:13;18:14;18:15;18:16
